incall_exten,entity_id,cti_profile_name,line_protocol,exten,voicemail_name,voicemail_attach_audio,mobile_phone_number,sip_username,supervision_enabled,sip_secret,simultaneous_calls,username,voicemail_number,firstname,ring_seconds,lastname,outgoing_caller_id,call_transfer_enabled,voicemail_ask_password,incall_ring_seconds,password,voicemail_delete_messages,language,voicemail_password,cti_profile_enabled,voicemail_email,context,voicemail_context,incall_context
6000,1,Client,sip,6000,ôvéréstïmàtïôn,1,1566552026,,1,,7,aB7d70Dd,6000,nïxôn,5,àççéntéd,"""àrïdïty çàp"" <4709717540>",0,0,12,Ccd3adf6,1,de_DE,9453,0,email@example.com,default,default,from-extern
6001,1,Supervisor,sip,6001,révïvàl,0,8419825681,7EA9eD7a,1,789aba5B,13,a0F8d3ee,6001,vïénnésé,50,pàràsympàthétïç,"""brïmfùl émùlàtéd"" <7966485760>",0,1,5,B52E96F4,0,de_DE,2479,1,email@example.com,default,default,from-extern
6002,1,Switchboard,sip,6002,dùnhàm,0,4021361614,eb50d3Ec,0,aFB0cdF8,18,1648de1a,6002,léttérmàn,30,délïçàçy's,"""wàshés éléçtrôénçéphàlôgràphy"" <1570076649>",0,0,52,E994Da16,1,fr_FR,1441,0,email@example.com,default,default,from-extern
6003,1,Switchboard,sccp,6003,hàïrçùt,0,5443294267,,0,,9,DE7Ec1ba,6003,sàlvés,0,séçôndly,"""ôùtçrïés héll"" <1343443255>",1,1,28,146eAa00,1,fr_FR,3598,0,email@example.com,default,default,from-extern
6004,1,Supervisor,sccp,6004,pùssy,1,9815276922,,0,,15,BB693C5A,6004,çômmôdïôùs,55,fïné,"""çôùnçïlwômén wàlrùs"" <3487944964>",1,1,40,2BAedaeE,0,en_US,1446,1,email@example.com,default,default,from-extern
6005,1,Client,sip,6005,hônk,1,2988071156,,0,,2,b6Ef7dfa,6005,çrïspïn,55,màrk,"""çùlts çhrïsténsén"" <0138469967>",0,0,48,a04D82D3,0,fr_CA,9518,1,email@example.com,default,default,from-extern
6006,1,Supervisor,sip,6006,çùrféws,1,4910443971,f2B6A0FA,0,9e4BA7Eb,6,Bcd2E2Bf,6006,ïnspïràtïôn's,40,àrrôgàtïôn,"""çôntrïbùtôrs théôrétïçïàn"" <1870637436>",0,0,17,DC3Fd7eE,1,fr_CA,6092,0,email@example.com,default,default,from-extern
6007,1,Agent,sip,6007,làwgïvér,0,2088645022,AE63afef,0,9b15aa26,15,0D4ccD2F,6007,mïstàkés,10,lôblôlly,"""ùnçàpïtàlïzéd sqùàd"" <6719606936>",0,0,47,CBBbCA9E,0,fr_FR,8505,1,email@example.com,default,default,from-extern
6008,1,Switchboard,sip,6008,pértàïn,0,0144236711,,1,,6,bCCD7C35,6008,dôùblôôn,45,bànqùéts,"""çàpsïzé bàtéàù"" <0983569643>",1,0,14,7Fe3f5Be,1,de_DE,9048,1,email@example.com,default,default,from-extern
6009,1,Supervisor,sccp,6009,syçôphànt,0,2149413986,,1,,11,C9f08E25,6009,çrïpplé,5,gùnnér,"""àxôns çàrdïnàlïtys"" <6938596995>",1,0,38,3A92f17a,1,fr_CA,6381,1,email@example.com,default,default,from-extern
6010,1,Supervisor,sip,6010,çhït,1,3400527627,A9a53CB9,1,d528FE4A,17,Dbcc92cF,6010,mérvïn,35,pérsùàdïng,"""lôôtér ïnçùmbént"" <0641203470>",1,0,22,4eD1dDE6,1,fr_FR,7594,0,email@example.com,default,default,from-extern
6011,1,Supervisor,sip,6011,dàwn,0,3127025128,C3f049ca,1,c9a61884,9,C00BAf17,6011,stréàk,5,spéçtôr,"""éàrmàrkéd dôlphïns"" <6906222908>",1,0,5,96a2b2ee,1,fr_FR,5352,0,email@example.com,default,default,from-extern
6012,1,Supervisor,sip,6012,stùdént,1,3401737301,c9310c8f,1,bF71E56C,15,1DEAFe85,6012,swïftnéss,35,pérsônïfïéd,"""kéypàd lôqùàçïty"" <7724922470>",1,0,37,aD6aAc2b,0,fr_CA,6269,0,email@example.com,default,default,from-extern
6013,1,Agent,sip,6013,réàlm's,0,7778657340,,0,,10,e6a1eCc4,6013,hônéydéw,0,bànàl,"""rôpé bàlé"" <2267989977>",0,0,24,DBF3594A,0,fr_FR,3508,1,email@example.com,default,default,from-extern
6014,1,Supervisor,sip,6014,rïléy,1,4763419881,3a5c36a9,1,BF1E7BB6,13,aEEEFEc5,6014,àlvéôlï,55,régùlàtôr,"""ïntéràçtéd ïnstàllmént"" <4745242035>",0,0,30,25203D84,0,fr_FR,4840,0,email@example.com,default,default,from-extern
6015,1,Agent,sccp,6015,çértïfïçàtïôns,1,0173644214,,0,,11,07A9Ad13,6015,àntïbïôtïçs,35,éffïçàçïôùs,"""vïsôr àltôgéthér"" <9064377482>",0,0,1,ab82dA1A,1,en_US,3664,1,email@example.com,default,default,from-extern
6016,1,Supervisor,sip,6016,çùp,1,2317067551,1FEbb6dA,0,dAca1c6A,13,38D94287,6016,wôùnd,55,réçéïvéd,"""sçhémé blïnds"" <7435607362>",1,1,15,a3CcB0Cf,0,de_DE,9714,1,email@example.com,default,default,from-extern
6017,1,Supervisor,sccp,6017,àllégé,0,6262600338,,0,,8,f5AD2FC0,6017,shùnnïng,50,àçréàgé,"""çénts tïtùlàr"" <7546733368>",0,0,55,Eb3B3ED1,0,de_DE,6563,1,email@example.com,default,default,from-extern
6018,1,Agent,sip,6018,fôlïàgé,1,5394556180,fcBFA80B,0,deDafdEb,9,b706c1e9,6018,hùstôn,25,blùrréd,"""pàpàl rùngé"" <0585675522>",1,1,59,60A4Bf5a,0,fr_FR,9751,0,email@example.com,default,default,from-extern
6019,1,Client,sip,6019,jàvélïn,0,8657519188,,0,,2,6ad9bF4c,6019,hérôn,10,gàbôn,"""mànômétér tônéd"" <1439419325>",1,0,3,63cFA3f5,0,de_DE,8296,1,email@example.com,default,default,from-extern
6020,1,Switchboard,sip,6020,tônnàgé,1,0572867064,,0,,14,dBdFDC53,6020,snôré,30,çrànkéd,"""tïçkïng réçônfïgùrér"" <4667686753>",0,1,29,7EFeEc9A,0,en_US,4945,1,email@example.com,default,default,from-extern
6021,1,Switchboard,sip,6021,hïspànïç,0,1026847805,,1,,6,93ea191B,6021,çôwôrkér,10,ébôny,"""dïàgràmmàblé éffïçïéntly"" <8738280626>",0,1,21,8ceACB9d,0,de_DE,8033,0,email@example.com,default,default,from-extern
6022,1,Client,sip,6022,çômbïng,0,1510865178,fbf05edd,1,7ED51DB9,10,AC5b0ff4,6022,làtéràl,10,wômbs,"""spùrgé hymns"" <6298405694>",0,1,32,495aef64,0,en_US,8250,0,email@example.com,default,default,from-extern
6023,1,Client,sccp,6023,àvéngér,1,4918265735,,0,,13,5A5f6dbf,6023,rélôçàté,45,métïng,"""bôùqùéts éyélïds"" <6331202316>",1,0,27,8e6ad93C,1,de_DE,4345,1,email@example.com,default,default,from-extern
6024,1,Supervisor,sip,6024,çhùb,1,8070979900,6CA38D51,1,E9Fe700D,15,DB784C7d,6024,àtônés,45,rôùtérs,"""sàbrà dévélôpïng"" <3926659193>",1,0,7,fdA10dCf,1,en_US,5765,1,email@example.com,default,default,from-extern
6025,1,Switchboard,sccp,6025,sàd,0,8868876804,,0,,10,38aF95d2,6025,résônàté,40,rïpôff,"""ïnsïnùàtés élmér"" <1807690849>",0,1,22,6340C8e4,0,fr_CA,7231,0,email@example.com,default,default,from-extern
6026,1,Switchboard,sccp,6026,béôwùlf,1,8301419842,,0,,19,F87F193d,6026,ïsômôrphïç,25,làyéréd,"""çhééks màlléàblé"" <3863952720>",1,1,21,874bA9b6,1,de_DE,2936,0,email@example.com,default,default,from-extern
6027,1,Switchboard,sccp,6027,çàlïfôrnïà,0,5391291527,,1,,9,5d136A8d,6027,ùnïpléx,15,ïmplàçàblé,"""rùth àbôùt"" <6571423322>",1,1,24,b0a33C62,1,en_US,3196,0,email@example.com,default,default,from-extern
6028,1,Supervisor,sip,6028,ïdéàlïzïng,0,3421976203,,0,,16,063c7B75,6028,ésçrïtôïré,35,nïppôn,"""ôffénds vïgïlànté"" <1262631813>",0,0,12,8f7E8AF9,1,en_US,5990,0,email@example.com,default,default,from-extern
6029,1,Agent,sccp,6029,môé,0,8732349266,,0,,16,6Db30ce9,6029,dïsïllùsïônmént,30,ïntrùdé,"""bùllïés hàvïng"" <0422047710>",1,0,52,E8cc81b7,1,fr_FR,4844,1,email@example.com,default,default,from-extern
6030,1,Supervisor,sccp,6030,phlôém,1,6108043080,,1,,3,772e5B76,6030,évérythïng,10,çhïvàlry,"""rïsérs sùspïçïôùs"" <7114661194>",0,1,10,EAA1da32,0,fr_FR,9790,1,email@example.com,default,default,from-extern
6031,1,Client,sccp,6031,àbrïdgéd,1,3369499426,,0,,5,9b25E2CA,6031,çlùstérïng,25,bùntéd,"""prôhïbïts çônsïgnôr"" <9738128122>",1,1,35,05F0Ef78,1,en_US,3360,1,email@example.com,default,default,from-extern
