id|eventtype|eventtime|userdeftype|cid_name|cid_num|cid_ani|cid_rdnis|cid_dnid|exten|context|channame|appname|appdata|amaflags|accountcode|peeraccount|uniqueid|linkedid|userfield|peer|call_log_id|extra
653212|CHAN_START|2023-07-19 15:21:33.154974-04|''|Alexandre Fournier|42307|''|''|''|1201|from-extern|PJSIP/wazo-test-direct-00000009|''|''|3|''|''|1689794493.16|1689794493.16|''|''|58181|''
653213|XIVO_INCALL|2023-07-19 15:21:33.276228-04|XIVO_INCALL|Alexandre Fournier|42307|42307|''|1201|s|did|PJSIP/wazo-test-direct-00000009|CELGenUserEvent|XIVO_INCALL,3621f811-6bf6-4d14-99f7-78f302e7967c|3|''|''|1689794493.16|1689794493.16|''|''|58181|{"extra":"3621f811-6bf6-4d14-99f7-78f302e7967c"}
653214|ANSWER|2023-07-19 15:21:33.303657-04|''|Alexandre Fournier|42307|42307|''|1201|s|xivo-subrfwd-user|PJSIP/wazo-test-direct-00000009|Answer|''|3|''|''|1689794493.16|1689794493.16|''|''|58181|''
653215|WAZO_CALL_LOG_DESTINATION|2023-07-19 15:21:34.497747-04|WAZO_CALL_LOG_DESTINATION|Alexandre Fournier|42307|42307|''|1201|s|user|PJSIP/wazo-test-direct-00000009|CELGenUserEvent|WAZO_CALL_LOG_DESTINATION,type: user,uuid: b2bb63f6-05d8-4172-bb2b-706dc9f66a14,name: AF Test 1 AF|3|''|''|1689794493.16|1689794493.16|''|''|58181|{"extra":"type: user,uuid: b2bb63f6-05d8-4172-bb2b-706dc9f66a14,name: AF Test 1 AF"}
653216|APP_START|2023-07-19 15:21:34.564589-04|''|Alexandre Fournier|42307|42307|''|1201|s|user|PJSIP/wazo-test-direct-00000009|Dial|PJSIP/HOT_POTATOLE/sip:HOT_POTATOLE@10.100.0.164:5060&Local/Ls62RUdG@wazo_wait_for_registration,30,xb(wazo-pre-dial-hooks^s^1)|3|''|''|1689794493.16|1689794493.16|''|''|58181|''
653217|CHAN_START|2023-07-19 15:21:34.565943-04|''|AF Test 1 AF|1201|''|''|''|s|internal|PJSIP/HOT_POTATOLE-0000000a|''|''|3|''|''|1689794494.17|1689794493.16|''|''|58181|''
653218|CHAN_START|2023-07-19 15:21:34.566263-04|''|''|''|''|''|''|Ls62RUdG|wazo_wait_for_registration|Local/Ls62RUdG@wazo_wait_for_registration-00000002;1|''|''|3|''|''|1689794494.18|1689794493.16|''|''|58181|''
653219|CHAN_START|2023-07-19 15:21:34.566326-04|''|''|''|''|''|''|Ls62RUdG|wazo_wait_for_registration|Local/Ls62RUdG@wazo_wait_for_registration-00000002;2|''|''|3|''|''|1689794494.19|1689794493.16|''|''|58181|''
653220|ANSWER|2023-07-19 15:21:35.296624-04|''|AF Test 1 AF|1201|1201|''|''|s|internal|PJSIP/HOT_POTATOLE-0000000a|AppDial|(Outgoing Line)|3|''|''|1689794494.17|1689794493.16|''|''|58181|''
653221|HANGUP|2023-07-19 15:21:35.29691-04|''|AF Test 1 AF|s|''|''|''|s|wazo_wait_for_registration|Local/Ls62RUdG@wazo_wait_for_registration-00000002;1|AppDial|(Outgoing Line)|3|''|''|1689794494.18|1689794493.16|''|''|58181|{"hangupcause":26,"hangupsource":"","dialstatus":""}
